#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||||||||
i|I|0|0|ACM|i_b|i_s|i_z|i_z|0.8|8|Bounded|7|20|Bounded|0.3|0.8|Bounded|1|10|Bounded|0.139|5||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|iodine|
i_s|X|-6|-1|Bounded|||i_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|4|10|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|iodine shell|
# Virtual site particle|can be turned on or off independently|||||||||||||||||||||||||||||||||||||||||
v2f1|VS|0|1|Bounded|v2f1||v2f1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2cl1|VS|0|1|Bounded|v2cl1||v2cl1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2br1|VS|0|1|Bounded|v2br1||v2br1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2i1|VS|0|1|Bounded|v2i1||v2i1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2f2|VS|-2|2|Bounded|v2f2||v2f2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2cl2|VS|-2|2|Bounded|v2cl2||v2cl2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2br2|VS|-2|2|Bounded|v2br2||v2br2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2i2|VS|-2|2|Bounded|v2i2||v2i2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2f3|VS|-2|2|Bounded|v2f3||v2f3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2cl3|VS|-2|2|Bounded|v2cl3||v2cl3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
